date,avgTemp,state,country
1956,58.51285455,California,United States
1957,59.24136364,California,United States
1958,60.68725455,California,United States
1959,60.48221818,California,United States
1960,60.01634545,California,United States
1961,59.42332727,California,United States
1962,59.16641818,California,United States
1963,59.03190909,California,United States
1964,58.27312727,California,United States
1965,58.24154545,California,United States
1966,59.84763636,California,United States
1967,59.17345455,California,United States
1968,59.39763636,California,United States
1969,59.14514545,California,United States
1970,59.28341818,California,United States
1971,57.77763636,California,United States
1972,59.17263636,California,United States
1973,59.19521818,California,United States
1974,59.43723636,California,United States
1975,57.90412727,California,United States
1976,59.08067273,California,United States
1977,59.88592727,California,United States
1978,59.12829091,California,United States
1979,59.65814545,California,United States
1980,59.52936364,California,United States
1981,60.73601818,California,United States
1982,58.13190909,California,United States
1983,59.19145455,California,United States
1984,59.66649091,California,United States
1985,58.98167273,California,United States
1986,60.03794545,California,United States
1987,60.09669091,California,United States
1988,60.43001818,California,United States
1989,59.87594545,California,United States
1990,59.50989091,California,United States
1991,59.54409091,California,United States
1992,60.98343636,California,United States
1993,59.43756364,California,United States
1994,59.37243636,California,United States
1995,60.47616364,California,United States
1996,61.0934,California,United States
1997,60.71098182,California,United States
1998,58.11718182,California,United States
1999,59.35934545,California,United States
2000,60.23790909,California,United States
2001,60.84712727,California,United States
2002,60.57647273,California,United States
2003,60.57761818,California,United States
2004,60.52689091,California,United States
2005,60.18145455,California,United States
2006,60.18898182,California,United States
2007,60.69707273,California,United States
2008,60.75663636,California,United States
2009,60.10650909,California,United States
2010,59.09523636,California,United States
2011,58.81509091,California,United States
2012,60.85252727,California,United States
2013,64.85045,Colorado,United States
1950,48.90992,Colorado,United States
1951,45.48805455,Colorado,United States
1952,46.25043636,Colorado,United States
1953,47.16041818,Colorado,United States
1954,49.25463636,Colorado,United States
1955,46.4486,Colorado,United States
1956,46.91594545,Colorado,United States
1957,46.42798182,Colorado,United States
1958,47.56345455,Colorado,United States
1959,46.78847273,Colorado,United States
1960,46.56281818,Colorado,United States
1961,45.87816364,Colorado,United States
1962,47.73330909,Colorado,United States
1963,49.14434545,Colorado,United States
1964,45.73367273,Colorado,United States
1965,45.91432727,Colorado,United States
1966,47.09234545,Colorado,United States
1967,46.58458182,Colorado,United States
1968,45.81336364,Colorado,United States
1969,46.39885455,Colorado,United States
1970,46.35205455,Colorado,United States
1971,45.94427273,Colorado,United States
1972,46.61010909,Colorado,United States
1973,45.78996364,Colorado,United States
1974,46.89794545,Colorado,United States
1975,45.51734545,Colorado,United States
1976,46.73529091,Colorado,United States
1977,48.60172727,Colorado,United States
1978,46.52534545,Colorado,United States
1979,46.36318182,Colorado,United States
1980,47.81872727,Colorado,United States
1981,48.71038182,Colorado,United States
1982,46.04474545,Colorado,United States
1983,46.00645455,Colorado,United States
1984,46.05309091,Colorado,United States
1985,46.15012727,Colorado,United States
1986,47.62989091,Colorado,United States
1987,47.08170909,Colorado,United States
1988,47.42272727,Colorado,United States
1989,47.09332727,Colorado,United States
1990,47.22832727,Colorado,United States
1991,47.09889091,Colorado,United States
1992,46.9976,Colorado,United States
1993,45.55105455,Colorado,United States
1994,48.22454545,Colorado,United States
1995,47.28576364,Colorado,United States
1996,47.54054545,Colorado,United States
1997,46.57067273,Colorado,United States
1998,47.7572,Colorado,United States
1999,48.02998182,Colorado,United States
2000,48.45298182,Colorado,United States
2001,48.70645455,Colorado,United States
2002,47.81872727,Colorado,United States
2003,48.28787273,Colorado,United States
2004,47.55429091,Colorado,United States
2005,48.15090909,Colorado,United States
2006,47.89890909,Colorado,United States
2007,48.53218182,Colorado,United States
2008,46.98156364,Colorado,United States
2009,46.58621818,Colorado,United States
2010,47.8562,Colorado,United States
2011,47.30392727,Colorado,United States
2012,49.96498182,Colorado,United States
2013,52.214,Connecticut,United States
1950,52.39688,Connecticut,United States
1951,51.67432727,Connecticut,United States
1952,52.12170909,Connecticut,United States
1953,53.16963636,Connecticut,United States
1954,51.79770909,Connecticut,United States
1955,51.66254545,Connecticut,United States
1956,50.30812727,Connecticut,United States
1957,52.74221818,Connecticut,United States
1958,49.5482,Connecticut,United States
1959,52.21350909,Connecticut,United States
1960,50.82718182,Connecticut,United States
1961,51.63603636,Connecticut,United States
1962,49.5734,Connecticut,United States
1963,50.32236364,Connecticut,United States
1964,50.76221818,Connecticut,United States
1965,50.5472,Connecticut,United States
1966,50.7884,Connecticut,United States
1967,49.43545455,Connecticut,United States
1968,50.9864,Connecticut,United States
1969,51.04007273,Connecticut,United States
1970,51.3968,Connecticut,United States
1971,51.60756364,Connecticut,United States
1972,49.83930909,Connecticut,United States
1973,52.70049091,Connecticut,United States
1974,50.97723636,Connecticut,United States
1975,51.75958182,Connecticut,United States
1976,50.87889091,Connecticut,United States
1977,51.91405455,Connecticut,United States
1978,49.73621818,Connecticut,United States
1979,51.45669091,Connecticut,United States
1980,50.45049091,Connecticut,United States
1981,51.68054545,Connecticut,United States
1982,51.34803636,Connecticut,United States
1983,52.11974545,Connecticut,United States
1984,52.12105455,Connecticut,United States
1985,51.8342,Connecticut,United States
1986,51.11910909,Connecticut,United States
1987,51.44098182,Connecticut,United States
1988,51.28470909,Connecticut,United States
1989,50.13450909,Connecticut,United States
1990,52.97834545,Connecticut,United States
1991,53.51867273,Connecticut,United States
1992,49.99738182,Connecticut,United States
1993,50.86710909,Connecticut,United States
1994,51.92109091,Connecticut,United States
1995,51.089,Connecticut,United States
1996,50.84829091,Connecticut,United States
1997,51.18227273,Connecticut,United States
1998,53.63436364,Connecticut,United States
1999,53.53798182,Connecticut,United States
2000,51.30925455,Connecticut,United States
2001,53.08634545,Connecticut,United States
2002,52.77609091,Connecticut,United States
2003,51.31530909,Connecticut,United States
2004,52.09274545,Connecticut,United States
2005,52.39907273,Connecticut,United States
2006,53.33343636,Connecticut,United States
2007,51.7532,Connecticut,United States
2008,52.30383636,Connecticut,United States
2009,51.92256364,Connecticut,United States
2010,54.03134545,Connecticut,United States
2011,53.86165455,Connecticut,United States
2012,54.7358,Connecticut,United States
2013,55.693175,Delaware,United States
