dt,AverageTemperature,State,Country
1958,-0.42390025974025036,Colorado,United States
1959,0.35108155844157096,Colorado,United States
1960,0.5767361038961099,Colorado,United States
1961,1.261390649350659,Colorado,United States
1962,-0.5937548051947914,Colorado,United States
1963,-2.0047911688311615,Colorado,United States
1964,1.4058815584415711,Colorado,United States
1965,1.2252270129870269,Colorado,United States
1966,0.04720883116884522,Colorado,United States
1967,0.5549724675324796,Colorado,United States
1968,1.3261906493506643,Colorado,United States
1969,0.7406997402597497,Colorado,United States
1970,0.7874997402597472,Colorado,United States
1971,1.1952815584415717,Colorado,United States
1972,0.5294451948052057,Colorado,United States
1973,1.3495906493506595,Colorado,United States
1974,0.2416088311688469,Colorado,United States
1975,1.622208831168841,Colorado,United States
1976,0.4042633766233834,Colorado,United States
1977,-1.4621729870129698,Colorado,United States
1978,0.6142088311688454,Colorado,United States
1979,0.7763724675324823,Colorado,United States
1980,-0.6791729870129757,Colorado,United States
1981,-1.5708275324675256,Colorado,United States
1982,1.0948088311688409,Colorado,United States
1983,1.1330997402597518,Colorado,United States
1984,1.086463376623385,Colorado,United States
1985,0.9894270129870222,Colorado,United States
1986,-0.49033662337662065,Colorado,United States
1987,0.05784519480520345,Colorado,United States
1988,-0.2831729870129749,Colorado,United States
1989,0.04622701298702481,Colorado,United States
1990,-0.0887729870129732,Colorado,United States
1991,0.04066337662338526,Colorado,United States
1992,0.14195428571429858,Colorado,United States
1993,1.5884997402597492,Colorado,United States
1994,-1.0849911688311593,Colorado,United States
1995,-0.14620935064933605,Colorado,United States
1996,-0.4009911688311547,Colorado,United States
1997,0.5688815584415678,Colorado,United States
1998,-0.6176457142857004,Colorado,United States
1999,-0.8904275324675197,Colorado,United States
2000,-1.3134275324675215,Colorado,United States
2001,-1.566900259740251,Colorado,United States
2002,-0.6791729870129757,Colorado,United States
2003,-1.1483184415584304,Colorado,United States
2004,-0.4147366233766121,Colorado,United States
2005,-1.0113548051947916,Colorado,United States
2006,-0.7593548051947892,Colorado,United States
2007,-1.3926275324675217,Colorado,United States
2008,0.15799064935065843,Colorado,United States
2009,0.5533361038961147,Colorado,United States
2010,-0.7166457142857041,Colorado,United States
2011,-0.16437298701297465,Colorado,United States
2012,-2.825427532467522,Colorado,United States
